"county","year","age_group","total_pop","at_risk"
"Migori",2011,"10-14",116430,116430
"Kwale",2055,"35-39",81667,72681
"Samburu",2023,"65-69",3614,2927
"Turkana",2090,"20-24",84885,82625
"Nakuru",2041,"15-19",311206,205831
"Kwale",2081,"30-34",81062,69715
"Bungoma",2091,"55-59",173357,172778
"Murang'a",2056,"85-89",4352,3994
"Siaya",2007,"70-74",5029,5029
"Nyandarua",2076,"90-94",1955,16
"Baringo",2047,"35-39",72731,66520
"Marsabit",2028,"50-54",13619,13153
"Lamu",2097,"0-4",13113,12077
"Trans Nzoia",2007,"35-39",43366,42432
"Tharaka-Nithi",2057,"50-54",28982,28950
"Samburu",2004,"45-49",5298,4281
"Kilifi",2091,"80-84",56291,54793
"Baringo",2091,"60-64",39947,37008
"Kericho",2015,"20-24",89201,80234
"Murang'a",2080,"10-14",89510,82969
"Baringo",2089,"50-54",48724,45098
"Nakuru",2022,"80-84",6465,4023
"Tana River",2040,"5-9",47585,47001
"Taita Taveta",2073,"40-44",45346,45346
"Nairobi",2040,"25-29",773034,12480
"Mombasa",2033,"70-74",19163,11103
"Kiambu",2028,"15-19",268017,106842
"Taita Taveta",2085,"10-14",45871,45871
"Homa Bay",2066,"80-84",13486,13485
"Kakamega",2033,"95+",384,384
"Uasin Gishu",2095,"90-94",13064,12072
"Baringo",2009,"80-84",1133,1034
"Meru",2079,"40-44",223422,214498
"Samburu",2002,"20-24",17461,14163
"Isiolo",2040,"15-19",24293,24274
"Migori",2095,"60-64",80429,80429
"Kwale",2085,"10-14",77562,66293
"Murang'a",2030,"25-29",105380,96214
"West Pokot",2013,"95+",115,102
"Vihiga",2050,"25-29",144291,144291
"Kisii",2044,"65-69",49501,49501
"Kisii",2068,"50-54",216439,216439
"Bomet",2060,"20-24",104508,101270
"Mombasa",2099,"65-69",352165,205566
"Kisii",2100,"20-24",330965,330965
"Isiolo",2055,"70-74",5721,5717
"Makueni",2016,"50-54",27999,27999
