"county","residence","year","pfpr","itn_coverage"
"Baringo","rural",2000,0.13841121033513,0.0213557809584373
"Baringo","rural",2001,0.0886837644276471,0.0177802210671879
"Baringo","rural",2002,0.0646919809943024,0.0279160581951775
"Baringo","rural",2003,0.0789163445250172,0.0160122602587126
"Baringo","rural",2004,0.0892763929513435,0.025035366117977
"Baringo","rural",2005,0.0631886789821745,0.0837098061226421
"Baringo","rural",2006,0.0330114438451852,0.231688662653585
"Baringo","rural",2007,0.0153437580010066,0.268131733409825
"Baringo","rural",2008,0.00922011976280513,0.261639346517955
"Baringo","rural",2009,0.00771971881698074,0.251477307701118
"Baringo","rural",2010,0.00781544219407892,0.248551639965095
"Baringo","rural",2011,0.00860025258667395,0.390595210168137
"Baringo","rural",2012,0.0106188821139596,0.46404200700978
"Baringo","rural",2013,0.0130446277151297,0.375336442260367
"Baringo","rural",2014,0.0147472566494187,0.277759768382675
"Baringo","rural",2015,0.0155488694965714,0.342063077253436
"Baringo","rural",2016,0.0163401538763513,0.459004415786514
"Baringo","rural",2017,0.019353396121826,0.638355338322313
"Baringo","rural",2018,0.0241225967104157,0.671506678803604
"Baringo","rural",2019,0.0288577511477914,0.503637092941686
"Baringo","rural",2020,0.0354599824472871,0.264914604910441
"Baringo","rural",2021,0.0435834513341455,0.370705028190177
"Baringo","rural",2022,0.0483222787210132,0.338557468087905
"Baringo","rural",2023,0.0483222787210132,0.277617123832082
"Baringo","rural",2024,0.0483222787210132,0.294544997236478
"Baringo","urban",2000,0.13841121033513,0.0213557809584373
"Baringo","urban",2001,0.0886837644276471,0.0177802210671879
"Baringo","urban",2002,0.0646919809943024,0.0279160581951775
"Baringo","urban",2003,0.0789163445250172,0.0160122602587126
"Baringo","urban",2004,0.0892763929513435,0.025035366117977
"Baringo","urban",2005,0.0631886789821745,0.0837098061226421
"Baringo","urban",2006,0.0330114438451852,0.231688662653585
"Baringo","urban",2007,0.0153437580010066,0.268131733409825
"Baringo","urban",2008,0.00922011976280513,0.261639346517955
"Baringo","urban",2009,0.00771971881698074,0.251477307701118
"Baringo","urban",2010,0.00781544219407892,0.248551639965095
"Baringo","urban",2011,0.00860025258667395,0.390595210168137
"Baringo","urban",2012,0.00951545126736164,0.467958301305771
"Baringo","urban",2013,0.0118847554549575,0.429098755121231
"Baringo","urban",2014,0.0129351764917374,0.36224302649498
"Baringo","urban",2015,0.0122827496379614,0.427268832921982
"Baringo","urban",2016,0.0112426439300179,0.489708632230759
"Baringo","urban",2017,0.0128764994442463,0.604356825351715
"Baringo","urban",2018,0.0163227766752243,0.582572937011719
"Baringo","urban",2019,0.020586172118783,0.462007731199265
"Baringo","urban",2020,0.0255644656717777,0.354320853948593
"Baringo","urban",2021,0.0377695336937904,0.576147377490997
"Baringo","urban",2022,0.0441776402294636,0.55367112159729
"Baringo","urban",2023,0.0441776402294636,0.454010319709778
"Baringo","urban",2024,0.0441776402294636,0.481693875789642
"Bomet","rural",2000,0.104646887327988,0.0106772087049227
"Bomet","rural",2001,0.169846212673095,0.0100778246385484
"Bomet","rural",2002,0.191417581925043,0.0170986533675257
"Bomet","rural",2003,0.222716956460658,0.011175439367244
"Bomet","rural",2004,0.185705882790979,0.0222149328715139
"Bomet","rural",2005,0.0989417829550234,0.0820795237357243
"Bomet","rural",2006,0.034106449770721,0.227267895832613
"Bomet","rural",2007,0.0108822929917589,0.282999343303117
"Bomet","rural",2008,0.0061275705537983,0.319625976865999
"Bomet","rural",2009,0.00654452462473602,0.321652597662133
"Bomet","rural",2010,0.00812236149618726,0.286708765647653
"Bomet","rural",2011,0.00840232180714734,0.443581491320888
"Bomet","rural",2012,0.00708609541572068,0.562416177201375
"Bomet","rural",2013,0.00560987473601783,0.555409739293684
"Bomet","rural",2014,0.00520279828473117,0.54944326340683
"Bomet","rural",2015,0.0055403081885534,0.6374993562928
"Bomet","rural",2016,0.00596660959912914,0.671700974014826
"Bomet","rural",2017,0.00717624252655376,0.698331609386645
"Bomet","rural",2018,0.00927658600165187,0.571818963059753
"Bomet","rural",2019,0.0123928418165294,0.444981041792577
"Bomet","rural",2020,0.0176245752871211,0.439819514150663
"Bomet","rural",2021,0.0281656603831119,0.730764306461752
"Bomet","rural",2022,0.0384534851181763,0.725296774589497
"Bomet","rural",2023,0.0384534851181763,0.594743355163388
"Bomet","rural",2024,0.0384534851181763,0.631008193892863
"Bomet","urban",2000,0.104646887327988,0.0106772087049227
"Bomet","urban",2001,0.169846212673095,0.0100778246385484
"Bomet","urban",2002,0.191417581925043,0.0170986533675257
"Bomet","urban",2003,0.222716956460658,0.011175439367244
"Bomet","urban",2004,0.185705882790979,0.0222149328715139
"Bomet","urban",2005,0.0989417829550234,0.0820795237357243
"Bomet","urban",2006,0.034106449770721,0.227267895832613
"Bomet","urban",2007,0.0108822929917589,0.282999343303117
"Bomet","urban",2008,0.0061275705537983,0.319625976865999
"Bomet","urban",2009,0.00654452462473602,0.321652597662133
"Bomet","urban",2010,0.00812236149618726,0.286708765647653
"Bomet","urban",2011,0.00840232180714734,0.443581491320888
"Bomet","urban",2012,0.00708609541572068,0.562416177201375
"Bomet","urban",2013,0.00560987473601783,0.555409739293684
"Bomet","urban",2014,0.00520279828473117,0.54944326340683
"Bomet","urban",2015,0.0055403081885534,0.6374993562928
"Bomet","urban",2016,0.00596660959912914,0.671700974014826
"Bomet","urban",2017,0.00717624252655376,0.698331609386645
"Bomet","urban",2018,0.00754804024472833,0.55929833650589
"Bomet","urban",2019,0.00936041492968798,0.432938158512115
"Bomet","urban",2020,0.0126033294945955,0.423720985651016
"Bomet","urban",2021,0.019916970282793,0.717006206512451
"Bomet","urban",2022,0.0287274792790413,0.709650218486786
"Bomet","urban",2023,0.0287274792790413,0.581913179159164
"Bomet","urban",2024,0.0287274792790413,0.617395690083504
"Bungoma","rural",2000,0.466785699154079,0.0152508770793323
"Bungoma","rural",2001,0.619471781604907,0.0132634556724675
"Bungoma","rural",2002,0.520113813165003,0.0191286786252763
"Bungoma","rural",2003,0.399433228073648,0.0113559524436161
"Bungoma","rural",2004,0.240303865973065,0.0206383108217009
"Bungoma","rural",2005,0.151509236308338,0.0764973092036036
"Bungoma","rural",2006,0.123936425442243,0.248822935972323
"Bungoma","rural",2007,0.106583330053361,0.353014121250633
"Bungoma","rural",2008,0.0913458453168679,0.446028946070978
"Bungoma","rural",2009,0.0860764522336723,0.431975983159912
"Bungoma","rural",2010,0.0834623942920667,0.308885986408167
"Bungoma","rural",2011,0.0828713889457602,0.413114279005407
"Bungoma","rural",2012,0.0839917523995636,0.508666409082445
"Bungoma","rural",2013,0.0808480511216878,0.520542088770576
"Bungoma","rural",2014,0.0781636581142204,0.55039298697516
"Bungoma","rural",2015,0.0755287161125343,0.567873626319151
"Bungoma","rural",2016,0.0711912794091012,0.446508782653943
"Bungoma","rural",2017,0.0754828941567747,0.480511695838351
"Bungoma","rural",2018,0.0852502433032264,0.50373331673822
"Bungoma","rural",2019,0.0929180052002596,0.468539609206078
"Bungoma","rural",2020,0.0922214795000768,0.447424107554452
"Bungoma","rural",2021,0.0803369804959597,0.716527474102935
"Bungoma","rural",2022,0.0739899229629458,0.708800609183265
"Bungoma","rural",2023,0.0735047081424053,0.581251329370837
"Bungoma","rural",2024,0.0735047081424053,0.616693483600767
"Bungoma","urban",2000,0.482054729578487,0.0162460250655977
"Bungoma","urban",2001,0.678037384541074,0.0134753630316556
"Bungoma","urban",2002,0.573148779231878,0.018417533746373
"Bungoma","urban",2003,0.420543423393569,0.0110097754182322
"Bungoma","urban",2004,0.230657558610396,0.0218504721623437
"Bungoma","urban",2005,0.137944846396637,0.0835910692680239
"Bungoma","urban",2006,0.110482146578539,0.272707292170186
"Bungoma","urban",2007,0.0865542691460245,0.367574497833833
"Bungoma","urban",2008,0.0762582672626687,0.458882647542745
"Bungoma","urban",2009,0.0778332006186684,0.442120811263482
"Bungoma","urban",2010,0.0812960965964982,0.318802656710398
"Bungoma","urban",2011,0.085611256835344,0.425015779386363
"Bungoma","urban",2012,0.0888898540095868,0.518742076358722
"Bungoma","urban",2013,0.0858878030270561,0.528940848545903
"Bungoma","urban",2014,0.0805205404078053,0.558968449163881
"Bungoma","urban",2015,0.0742130569678761,0.580613359686882
"Bungoma","urban",2016,0.0600136694761979,0.460426730236421
"Bungoma","urban",2017,0.0600989984822957,0.492706621579108
"Bungoma","urban",2018,0.0689185099055246,0.505774606689758
"Bungoma","urban",2019,0.0735043728038874,0.466841982825471
"Bungoma","urban",2020,0.072605368119856,0.444675694531946
"Bungoma","urban",2021,0.0662688407655226,0.714048168552949
"Bungoma","urban",2022,0.0655891210012298,0.706024807890057
"Bungoma","urban",2023,0.0690414034967524,0.578896469621174
"Bungoma","urban",2024,0.0690414034967524,0.614195034841977
"Busia","rural",2000,0.754803868545145,0.0236104963214618
"Busia","rural",2001,0.985622229386832,0.0193461171238666
"Busia","rural",2002,0.905799211853665,0.0258816716332699
"Busia","rural",2003,0.794167034733817,0.016222915362891
"Busia","rural",2004,0.557596366324585,0.0325845147569849
"Busia","rural",2005,0.418391758247414,0.113314399393713
"Busia","rural",2006,0.422655307390385,0.318156374046941
"Busia","rural",2007,0.426713615869005,0.41828295310661
"Busia","rural",2008,0.387409010856764,0.497310646393253
"Busia","rural",2009,0.332167182860827,0.457618961967637
"Busia","rural",2010,0.274441716824736,0.313449927475985
"Busia","rural",2011,0.257603952333896,0.396171067332711
"Busia","rural",2012,0.273186565531254,0.485807819727292
"Busia","rural",2013,0.282932995324615,0.53131640915148
"Busia","rural",2014,0.289208998079976,0.612560639815068
"Busia","rural",2015,0.291272918854207,0.668473096339369
"Busia","rural",2016,0.275206528610921,0.577230644191934
"Busia","rural",2017,0.284139772372641,0.619246432221343
"Busia","rural",2018,0.307338200168417,0.612808983280098
"Busia","rural",2019,0.308777161280725,0.537750255921016
"Busia","rural",2020,0.290124195284745,0.494919649867302
"Busia","rural",2021,0.219594058571133,0.749371421568793
"Busia","rural",2022,0.139678572837814,0.740623694535309
"Busia","rural",2023,0.139678572837814,0.607311429518954
"Busia","rural",2024,0.139678572837814,0.644342614245719
"Busia","urban",2000,0.841020941734314,0.0245282296091318
"Busia","urban",2001,1,0.0188922416418791
"Busia","urban",2002,1,0.00985102169215679
"Busia","urban",2003,0.902634950566928,0.0145849823143511
"Busia","urban",2004,0.85666141888043,0.030812705422369
"Busia","urban",2005,0.719752964515663,0.0859784379920116
"Busia","urban",2006,0.629150496885436,0.218683415860024
"Busia","urban",2007,0.539823858987348,0.306627524591153
"Busia","urban",2008,0.481517036067886,0.402543225922593
"Busia","urban",2009,0.413280182534343,0.371444212579916
"Busia","urban",2010,0.359845318163447,0.303072826390698
"Busia","urban",2011,0.390665214894774,0.301405949561122
"Busia","urban",2012,0.48249223615285,0.385938604330082
"Busia","urban",2013,0.553516253088547,0.530230284665229
"Busia","urban",2014,0.513192465959618,0.651351183757289
"Busia","urban",2015,0.349843177981935,0.66252381018228
"Busia","urban",2016,0.275151656621695,0.550601979464776
"Busia","urban",2017,0.256223589831779,0.632284093411905
"Busia","urban",2018,0.273823814278194,0.627881396945583
"Busia","urban",2019,0.314665742472934,0.550240909099257
"Busia","urban",2020,0.314116530592781,0.601492978367413
"Busia","urban",2021,0.283633475979259,0.777651484718558
"Busia","urban",2022,0.199862540231308,0.741309592998174
"Busia","urban",2023,0.199862540231308,0.607873866258502
"Busia","urban",2024,0.199862540231308,0.644939345908411
"Elgeyo-Marakwet","rural",2000,0.136848712467975,0.0166069254974335
"Elgeyo-Marakwet","rural",2001,0.0872795906107872,0.0150546085181051
"Elgeyo-Marakwet","rural",2002,0.0627286773400523,0.0260100749528717
"Elgeyo-Marakwet","rural",2003,0.0743341323715029,0.0149910620200461
"Elgeyo-Marakwet","rural",2004,0.0811124811688064,0.0213325438848657
"Elgeyo-Marakwet","rural",2005,0.0570416587063925,0.0666466933733425
"Elgeyo-Marakwet","rural",2006,0.0301674566463933,0.183447505577947
"Elgeyo-Marakwet","rural",2007,0.0140875436580654,0.216911332673612
"Elgeyo-Marakwet","rural",2008,0.0083587155589663,0.228173446557321
"Elgeyo-Marakwet","rural",2009,0.0066650671520574,0.228619000700268
"Elgeyo-Marakwet","rural",2010,0.00620466027358338,0.218945157301875
"Elgeyo-Marakwet","rural",2011,0.00650024335168988,0.339497188600217
"Elgeyo-Marakwet","rural",2012,0.00774235467935619,0.38870269894035
"Elgeyo-Marakwet","rural",2013,0.00963812347289677,0.316526043951984
"Elgeyo-Marakwet","rural",2014,0.0111890255355432,0.258158430101118
"Elgeyo-Marakwet","rural",2015,0.0122762737900224,0.317827860808471
"Elgeyo-Marakwet","rural",2016,0.0135680524388782,0.390164267478304
"Elgeyo-Marakwet","rural",2017,0.0157370865542938,0.524455547128266
"Elgeyo-Marakwet","rural",2018,0.0173980119364037,0.527448835777154
"Elgeyo-Marakwet","rural",2019,0.0196682864979917,0.379054291806018
"Elgeyo-Marakwet","rural",2020,0.023107392710452,0.219019433694627
"Elgeyo-Marakwet","rural",2021,0.0304120806677603,0.353675531829921
"Elgeyo-Marakwet","rural",2022,0.0404285636711638,0.327986214171109
"Elgeyo-Marakwet","rural",2023,0.0404285636711638,0.26894869562031
"Elgeyo-Marakwet","rural",2024,0.0404285636711638,0.285348006328865
"Embu","rural",2000,0.0603875731073121,0.0148213976947785
"Embu","rural",2001,0.092501158817361,0.0145813811380182
"Embu","rural",2002,0.0924777221886361,0.0281358618636224
"Embu","rural",2003,0.090658142196058,0.0174890267782698
"Embu","rural",2004,0.0706237013895588,0.0280428144008433
"Embu","rural",2005,0.0479693855020964,0.102336051763035
"Embu","rural",2006,0.0318698572353089,0.297898993058767
"Embu","rural",2007,0.019831978840309,0.380008361682225
"Embu","rural",2008,0.0124753136460681,0.418322642967339
"Embu","rural",2009,0.00852125652163321,0.379058213157449
"Embu","rural",2010,0.00663457428448964,0.289061580869401
"Embu","rural",2011,0.00679456110624598,0.444167059619355
"Embu","rural",2012,0.00941474397258969,0.61250675111197
"Embu","rural",2013,0.0139512583662466,0.575371343955337
"Embu","rural",2014,0.0175323508003015,0.453429812159034
"Embu","rural",2015,0.0194625180011137,0.461286753415064
"Embu","rural",2016,0.0205751006407689,0.490704111033117
"Embu","rural",2017,0.0228000230953984,0.683475321317946
"Embu","rural",2018,0.0236149134128843,0.809924084269936
"Embu","rural",2019,0.023181716775398,0.693783584956766
"Embu","rural",2020,0.0230926303451186,0.361550943470977
"Embu","rural",2021,0.0233749310316167,0.430484186836521
"Embu","rural",2022,0.0332169948102011,0.384625463505281
"Embu","rural",2023,0.0332169948102011,0.31539288007433
"Embu","rural",2024,0.0332169948102011,0.334624153249594
"Embu","urban",2000,0.04610176384449,0.0128748612478375
"Embu","urban",2001,0.0806506179774982,0.0128652463348104
"Embu","urban",2002,0.0924777221886361,0.0281358618636224
"Embu","urban",2003,0.0644809976220131,0.0163764636963606
"Embu","urban",2004,0.0706237013895588,0.0280428144008433
"Embu","urban",2005,0.0313738659024239,0.101886674761772
"Embu","urban",2006,0.0226620733737946,0.302248269319534
"Embu","urban",2007,0.0153713608160615,0.385570913553238
"Embu","urban",2008,0.0100213484838605,0.430730670690536
"Embu","urban",2009,0.00852125652163321,0.379058213157449
"Embu","urban",2010,0.00478430604562163,0.290760487318039
"Embu","urban",2011,0.00540129989473249,0.447445422626265
"Embu","urban",2012,0.00747985463186723,0.627610216445406
"Embu","urban",2013,0.0114986473895057,0.598427076239227
"Embu","urban",2014,0.0151002663159543,0.481142422022238
"Embu","urban",2015,0.0172432388849482,0.478773342270623
"Embu","urban",2016,0.0171382408589125,0.494656592607498
"Embu","urban",2017,0.0206417591711602,0.674416878873272
"Embu","urban",2018,0.021230717909696,0.801163380744287
"Embu","urban",2019,0.0211958665370201,0.685908071066283
"Embu","urban",2020,0.0205359346765226,0.359566151611671
"Embu","urban",2021,0.0207037998404499,0.438159987734631
"Embu","urban",2022,0.0307323081335038,0.392078062046202
"Embu","urban",2023,0.0307323081335038,0.321504010877886
"Embu","urban",2024,0.0307323081335038,0.341107913980196
"Garissa","rural",2000,0.0920444326776513,0.0334810699784515
"Garissa","rural",2001,0.115944518813889,0.0218777451165805
"Garissa","rural",2002,0.104242698877708,0.0275084599385422
"Garissa","rural",2003,0.0875571849278332,0.013769800305496
"Garissa","rural",2004,0.0690945143124782,0.0242521852983435
"Garissa","rural",2005,0.0544884738993624,0.100664783811715
"Garissa","rural",2006,0.0499368048835336,0.333017540234274
"Garissa","rural",2007,0.0428647138720873,0.44844928784018
"Garissa","rural",2008,0.0284281158569414,0.499847156855
"Garissa","rural",2009,0.0146769402481697,0.484739277408224
"Garissa","rural",2010,0.00856196317130433,0.413341259443234
"Garissa","rural",2011,0.00684473083587593,0.538906635382165
"Garissa","rural",2012,0.00843227525046442,0.606916366055949
"Garissa","rural",2013,0.0115717381893493,0.473241175430377
"Garissa","rural",2014,0.0142504197788129,0.284684656326637
"Garissa","rural",2015,0.0162051583764871,0.26802900179631
"Garissa","rural",2016,0.017707088751796,0.326605130206393
"Garissa","rural",2017,0.0192252701793268,0.534295391875007
"Garissa","rural",2018,0.0204864443337284,0.658315716070829
"Garissa","rural",2019,0.0207955165509181,0.504977061529902
"Garissa","rural",2020,0.0236668986796023,0.226465503994226
"Garissa","rural",2021,0.0247656902711195,0.27153781262698
"Garissa","rural",2022,0.0301029353707456,0.238094507608377
"Garissa","rural",2023,0.0301029353707456,0.195237496238869
"Garissa","rural",2024,0.0301029353707456,0.207142221619288
"Garissa","urban",2000,0.0583973117172718,0.0400471277534962
"Garissa","urban",2001,0.0826362892985344,0.0241608712822199
"Garissa","urban",2002,0.0790108655259566,0.0315964084060711
"Garissa","urban",2003,0.063519385170957,0.0161631085977727
"Garissa","urban",2004,0.048409271938683,0.0271895279416804
"Garissa","urban",2005,0.0353608047984978,0.112276770224354
"Garissa","urban",2006,0.0314285823128988,0.352998943907632
"Garissa","urban",2007,0.0272260855839488,0.485601066389865
"Garissa","urban",2008,0.0188830902733516,0.551494730737888
"Garissa","urban",2009,0.0101046343166749,0.541214960998948
"Garissa","urban",2010,0.00585662979434843,0.464404905621987
"Garissa","urban",2011,0.00484465817724891,0.620978217984104
"Garissa","urban",2012,0.00631119115672735,0.737937294380238
"Garissa","urban",2013,0.00917056665185964,0.640128484599446
"Garissa","urban",2014,0.0107063532571748,0.40135054668036
"Garissa","urban",2015,0.0109101208994246,0.321940034173325
"Garissa","urban",2016,0.0112560752087412,0.321153018722697
"Garissa","urban",2017,0.0124314875850371,0.519773377226815
"Garissa","urban",2018,0.0132834310294117,0.656783048425234
"Garissa","urban",2019,0.0130297328432574,0.493884813582446
"Garissa","urban",2020,0.0146512264688919,0.201794793765534
"Garissa","urban",2021,0.0157870338360259,0.225851981257004
"Garissa","urban",2022,0.0187302926483728,0.189510713479855
"Garissa","urban",2023,0.0187302926483728,0.155398785053481
"Garissa","urban",2024,0.0187302926483728,0.164874320727474
"Homa Bay","rural",2000,0.363815255859039,0.0169415475286187
"Homa Bay","rural",2001,0.556638136228887,0.0152304696553064
"Homa Bay","rural",2002,0.514268834198124,0.0249842186662061
"Homa Bay","rural",2003,0.441672347052899,0.0164152039871821
"Homa Bay","rural",2004,0.312356241600646,0.0332956901423739
"Homa Bay","rural",2005,0.217515459969964,0.12445089580728
"Homa Bay","rural",2006,0.17574270594421,0.349127679383911
"Homa Bay","rural",2007,0.151411326311816,0.453487162657332
"Homa Bay","rural",2008,0.135383630828013,0.529732966330823
"Homa Bay","rural",2009,0.133597931024838,0.520128781205438
"Homa Bay","rural",2010,0.134322850411379,0.417142946778925
"Homa Bay","rural",2011,0.129465761343183,0.524547040703112
"Homa Bay","rural",2012,0.13971868711554,0.588577153469862
"Homa Bay","rural",2013,0.157762452804777,0.567071043199727
"Homa Bay","rural",2014,0.153281144662193,0.59279343714223
"Homa Bay","rural",2015,0.123173178908068,0.704044029241683
"Homa Bay","rural",2016,0.0860844789947367,0.743563679419242
"Homa Bay","rural",2017,0.0697364064223067,0.772067449377188
"Homa Bay","rural",2018,0.0545828990373114,0.66516972940236
"Homa Bay","rural",2019,0.0460747579468171,0.500712550895217
"Homa Bay","rural",2020,0.0534462613182866,0.4105317976543
"Homa Bay","rural",2021,0.0687796726742462,0.660540757304709
"Homa Bay","rural",2022,0.0678309911518863,0.648041580720968
"Homa Bay","rural",2023,0.0678309911518863,0.531394096191193
"Homa Bay","rural",2024,0.0678309911518863,0.563796175227242
"Homa Bay","urban",2000,0.479446917772293,0.0134294256567955
"Homa Bay","urban",2001,0.711137413978577,0.0131334466859698
"Homa Bay","urban",2002,0.677721679210663,0.021529657766223
"Homa Bay","urban",2003,0.645431339740753,0.0138160828500986
"Homa Bay","urban",2004,0.499753803014755,0.030711967498064
"Homa Bay","urban",2005,0.343019366264343,0.11557050794363
"Homa Bay","urban",2006,0.207622230052948,0.324923783540726
"Homa Bay","urban",2007,0.106126807630062,0.437465220689774
"Homa Bay","urban",2008,0.0683089569211006,0.539041876792908
"Homa Bay","urban",2009,0.0656467825174332,0.542571425437927
"Homa Bay","urban",2010,0.0765084400773048,0.4408940076828
"Homa Bay","urban",2011,0.0938466936349869,0.561066031455994
"Homa Bay","urban",2012,0.137167945504189,0.652306854724884
"Homa Bay","urban",2013,0.151485292361026,0.619482965958276
"Homa Bay","urban",2014,0.14961939848846,0.640615296586652
"Homa Bay","urban",2015,0.110462676324434,0.73645476554943
"Homa Bay","urban",2016,0.0673083277258682,0.759896661875274
"Homa Bay","urban",2017,0.050845987771879,0.775810246458025
"Homa Bay","urban",2018,0.0386827087707818,0.667948562157274
"Homa Bay","urban",2019,0.0336835267188291,0.506345404613362
"Homa Bay","urban",2020,0.0405972924351168,0.423097969412366
"Homa Bay","urban",2021,0.056751857893559,0.675145375499569
"Homa Bay","urban",2022,0.0651646705192904,0.664389535100998
"Homa Bay","urban",2023,0.0651646705192904,0.544799418782819
"Homa Bay","urban",2024,0.0651646705192904,0.578018895537868
"Isiolo","rural",2000,0.0876692019061782,0.0217815492287461
"Isiolo","rural",2001,0.106729573707855,0.0180843280543182
"Isiolo","rural",2002,0.107855310889797,0.030946518981173
"Isiolo","rural",2003,0.122405201180843,0.0174535418475586
"Isiolo","rural",2004,0.118622415119322,0.0282577724233638
"Isiolo","rural",2005,0.0860667885856905,0.102048716389587
"Isiolo","rural",2006,0.0562498880119066,0.318820635883974
"Isiolo","rural",2007,0.0344179705607554,0.395521621788042
"Isiolo","rural",2008,0.019460616579298,0.407516375672492
"Isiolo","rural",2009,0.0104930598526195,0.379576543988896
"Isiolo","rural",2010,0.00716605801349863,0.328282534540712
"Isiolo","rural",2011,0.00676731025201677,0.457774594663227
"Isiolo","rural",2012,0.008788045316243,0.521263739648829
"Isiolo","rural",2013,0.01438145511794,0.431139565900426
"Isiolo","rural",2014,0.0167045424613361,0.290949967941532
"Isiolo","rural",2015,0.018749867790718,0.34594509371003
"Isiolo","rural",2016,0.0210135403473839,0.469656556966571
"Isiolo","rural",2017,0.0232477487978532,0.684959398279859
"Isiolo","rural",2018,0.0246552998799757,0.789028728123566
"Isiolo","rural",2019,0.0233672547229588,0.639745887754319
"Isiolo","rural",2020,0.0254649868395043,0.315928625821977
"Isiolo","rural",2021,0.0265228948019775,0.368513499938646
"Isiolo","rural",2022,0.0304027776767211,0.32712969146271
"Isiolo","rural",2023,0.0304027776767211,0.268246346999422
"Isiolo","rural",2024,0.0304027776767211,0.284602831572558
"Isiolo","urban",2000,0.0835401266813278,0.0200581159442663
"Isiolo","urban",2001,0.10477701574564,0.0187347643077374
"Isiolo","urban",2002,0.108147732913494,0.0363558642566204
"Isiolo","urban",2003,0.128058105707169,0.0222914796322584
"Isiolo","urban",2004,0.120668187737465,0.0328496545553207
